"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","COMP_ACTION_ID","ENVIRONMENTAL_IMPACT_ID","SEP_ID","POLLUTANT_CODE","POLLUTANT_NAME","AVERAGE_ANNUAL_VALUE","POLLUTANT_UNIT_CODE","MEDIA_CODE","MEDIA_DESC","SEP_OR_COMP_FLAG"
"3603678030","02-2023-5077","3600396795","3600063759","3600047944",,"6727",,"43000","lbs","LAN","Land","C"
"3603678076","02-2023-5076","3600397192","3600063760","3600047945",,"6727",,"10313","lbs","LAN","Land","C"
"3603682791","04-2023-0205","3600397361","3600063863","3600048034",,"8198",,"234000","lbs","AIR","Air","C"
"3603685435","05-2023-0338","3600397470","3600064083","3600048209",,"10486",,"1800","PNDSYR","SWT","Water (navigable/surface)","C"
"3603689272","05-2023-5035","3600526304","3600089166","3600067240",,"10243",,".01","PNDSYR","AIR","Air","C"
"3603698115","05-2023-5036","3600397864","3600064132","3600048240",,"7003",,"1116","PNDSYR","AIR","Air","C"
"3603710608","02-2023-5172","3600402379","3600064380","3600048404",,"6727",,"15","lbs","LAN","Land","C"
"3603711151","09-2023-3512","3600402427","3600064607","3600048596",,"928",,"26000","lbs","AIR","Air","C"
"3603711716","02-2023-8501","3600402435","3600064420","3600048445",,"8459",,"5400","yd3","WSU","Water (underground source)","C"
"3603711812","02-2023-5205","3600402454","3600064430","3600048455",,"6662",,"135","lbs","LAN","Land","C"
"3603714020","06-2023-3405","3600402727","3600078080","3600058848",,"300000282",,"10800","PNDSYR","AIR","Air","C"
"3603717508","03-2023-0100","3600402608","3600064549","3600048551",,"300000282",,"4561","PNDSYR","AIR","Air","C"
"3603717508","03-2023-0100","3600402608","3600064549","3600048552",,"10361",,"229","PNDSYR","AIR","Air","C"
"3603719107","06-2023-1781","3600402671","3600065664","3600049389",,"10861",,"650.83","PNDSYR","SWT","Water (navigable/surface)","C"
"3603719209","02-2023-5215","3600402676","3600064602","3600048593",,"6727",,"22040","lbs","LAN","Land","C"
"3603720276","09-2023-4573","3600402717","3600064643","3600048643",,"6662",,"2994","lbs","LAN","Land","C"
"3603721932","03-2023-0104","3600520819","3600088039","3600066667",,"6580",,".51","ACRS","WTL","Water (wetlands)","C"
"3603723070","05-2023-9913","3600402833","3600065479","3600049144",,"320002606",,"440","lbs","LAN","Land","C"
"3603723073","05-2023-9914","3600402834","3600065428","3600049105",,"10051",,"440","lbs","LAN","Land","C"
"3603724812","04-2022-2514","3600402938","3600064819","3600048745",,"300000047",,"2","yd3","SIL","Soil","C"
"3603724829","04-2022-2515","3600402940","3600064818","3600048744",,"300000047",,"6","yd3","SIL","Soil","C"
"3603724874","04-2023-2522","3600402944","3600064830","3600048756",,"500",,"3.5","yd3","SIL","Soil","C"
"3603724897","04-2023-2517","3600402946","3600064832","3600048758",,"500",,"4","yd3","SIL","Soil","C"
"3603725573","04-2022-2518","3600402988","3600064855","3600048797",,"300000047",,"6","yd3","SIL","Soil","C"
"3603725657","04-2022-2524","3600403009","3600064875","3600048810",,"300000047",,"11.5","yd3","SIL","Soil","C"
"3603725688","04-2022-2529","3600403015","3600064886","3600048817",,"500",,"1","yd3","SIL","Soil","C"
"3603725884","05-2023-0347","3600403035","3600064899","3600048831",,"375",,"805","PNDSYR","SWT","Water (navigable/surface)","C"
"3603735741","04-2023-2104","3600403136","3600065006","3600048878",,"6614",,"1400","lbs","LAN","Land","C"
"3603736282","06-2023-3351","3600403167","3600065027","3600048886",,"300000243",,"27153.9","lbs","AIR","Air","C"
"3603737123","06-2023-3353","3600403176","3600065057","3600048903",,"200000670",,"9541049.78","lbs","AIR","Air","C"
"3603737708","04-2023-1295","3600403213","3600065099","3600048944",,"6662",,"1.1","lbs","LAN","Land","C"
"3603741371","03-2023-0113","3600403301","3600065168","3600048995",,"10486",,"2673","PNDSYR","SWT","Water (navigable/surface)","C"
"3603744499","08-2023-0144","3600407825","3600065318","3600049043",,"6372",,"500000","lbs","LAN","Land","C"
"3603745637","04-2023-2535","3600407836","3600065355","3600049055",,"7776",,"1856.67","yd3","GWT","Water (ground)","C"
"3603746866","09-2023-6562","3600407897","3600065590","3600049296",,"6624",,"2501","lbs","SWT","Water (navigable/surface)","C"
"3603746914","04-2023-1303","3600407903","3600065365","3600049067",,"6662",,"4.41","lbs","LAN","Land","C"
"3603746920","04-2023-1306","3600407907","3600065369","3600049071",,"6662",,"4.41","lbs","LAN","Land","C"
"3603754504","09-2023-4800","3600408159","3600065546","3600049235",,"6662",,"2900","lbs","LAN","Land","C"
"3603769184","05-2024-0302","3600408434","3600075498","3600056805",,"10486",,"969","lbs","SWT","Water (navigable/surface)","C"
"3603786090","10-2024-0012","3600421912","3600067779","3600050763",,"6",,"1.11","yd3","GWT","Water (ground)","C"
"3603787186","09-2024-4327","3600413768","3600066153","3600049638",,"6662",,"400","lbs","LAN","Land","C"
"3603791842","02-2024-3109","3600414034","3600066238","3600049688",,"776",,"4","lbs","SWT","Water (navigable/surface)","C"
"3603791981","07-2023-0089","3600414041","3600066258","3600049703",,"300000023",,"41.1","lbs","SWT","Water (navigable/surface)","C"
"3603797587","08-2024-0005","3600414839","3600066566","3600049908",,"6662",,"2700","lbs","LAN","Land","C"
"3603805823","02-2024-5016","3600415383","3600066858","3600050103",,"6662",,"702","lbs","LAN","Land","C"
"3603809396","03-2024-0009","3600420241","3600067338","3600050464",,"10178",,"94","PNDSYR","SWT","Water (navigable/surface)","C"
"3603815013","06-2023-4808","3600520499","3600087843","3600066547",,"3256",,"368004","gal","SWT","Water (navigable/surface)","C"
"3603819084","08-2024-0018","3600421513","3600067729","3600050705",,"6662",,"23.6","lbs","LAN","Land","C"
"3603822303","10-2024-0020","3600435094","3600069860","3600052425",,"7656",,"6","ACRS","WTL","Water (wetlands)","C"
"3603822691","02-2024-7201","3600426951","3600068119","3600051003",,"6614",,"16","lbs","LAN","Land","C"
"3603823129","02-2024-3013","3600422171","3600067939","3600050892",,"6352",,"8","PNDSYR","SWT","Water (navigable/surface)","C"
"3603824305","08-2024-0020","3600498059","3600083435","3600062771",,"10322",,"750","PPL","DWT","Water (drinking)","C"
"3603834165","07-2023-0099","3600434459","3600070518","3600052885",,"6435",,"1203952","PNDSYR","SWT","Water (navigable/surface)","C"
"3603841426","02-2024-5018","3600428451","3600068758","3600051463",,"6727",,"28800","lbs","LAN","Land","C"
"3603842554","07-2023-0149","3600428792","3600068939","3600051564",,"6614",,"55","lbs","LAN","Land","C"
"3603842588","10-2024-0025","3600436132","3600081118","3600060983",,"6662",,"2314","lbs","LAN","Land","C"
"3603852531","05-2024-1029","3600434455","3600083629","3600063045",,"12108",,"6194","PPL","DWT","Water (drinking)","C"
"3603856962","05-2024-0020","3600435057","3600072506","3600054465",,"6662",,"0","lbs","LAN","Land","C"
"3603877236","05-2024-9901","3600436274","3600070578","3600052925",,"10802",,"250","lbs","LAN","Land","C"
"3603883455","09-2024-4379","3600437271","3600070758","3600053063",,"6662",,"139","lbs","LAN","Land","C"
"3603884124","09-2024-4380","3600437311","3600070798","3600053103",,"6662",,"542","lbs","LAN","Land","C"
"3603890714","07-2024-0039","3600442391","3600071160","3600053345",,"375",,"601.75","PNDSYR","SWT","Water (navigable/surface)","C"
"3603901887","06-2024-1112","3600456631","3600074158","3600055823",,"6596",,"1","WELLS","WSU","Water (underground source)","C"
"3603905867","08-2024-0042","3600447499","3600071518","3600053703",,"10251",,"4671","PPL","DWT","Water (drinking)","C"
"3603925489","01-2024-2030","3600448092","3600071818","3600054023",,"10292",,"66","yd3","GWT","Water (ground)","C"
"3603932808","10-2024-0068","3600480415","3600076978","3600057987",,"5889",,"9","lbs","SWT","Water (navigable/surface)","C"
"3603933330","02-2024-5071","3600448666","3600072198","3600054283",,"6727",,"3414","lbs","LAN","Land","C"
"3603934934","01-2024-2034","3600448853","3600072338","3600054383",,"5889",,"26659","PNDSYR","SWT","Water (navigable/surface)","C"
"3603936241","02-2024-5022","3600448971","3600072418","3600054423",,"6727",,"5512.5","lbs","LAN","Land","C"
"3603936561","02-2024-5075","3600449014","3600076427","3600057531",,"6727",,"1","lbs","LAN","Land","C"
"3603936633","06-2024-1117","3600468373","3600075279","3600056684",,"6596",,"1","WELLS","WSU","Water (underground source)","C"
"3603939932","02-2024-5081","3600453031","3600072598","3600054523",,"6727",,"18.5","lbs","LAN","Land","C"
"3603940731","10-2024-0082","3600473855","3600075817","3600057026",,"5889",,"10","lbs","SWT","Water (navigable/surface)","C"
"3603941939","02-2024-5063","3600453429","3600072798","3600054683",,"6727",,"11000","lbs","LAN","Land","C"
"3603947478","06-2024-1745","3600454072","3600073098","3600054869",,"300000024",,"10000","PNDSYR","SWT","Water (navigable/surface)","C"
"3603948295","04-2022-0507","3600454113","3600073122","3600054884",,"320002101",,".22","ACRS","WTL","Water (wetlands)","C"
"3603952605","05-2024-1035","3600454551","3600083639","3600063076",,"12108",,"21246","PPL","DWT","Water (drinking)","C"
"3603952768","09-2024-4390","3600454593","3600073340","3600055105",,"6662",,"2240","lbs","LAN","Land","C"
"3603954112","06-2024-3400","3600454931","3600073518","3600055263",,"300000243",,"18606000","PNDSYR","AIR","Air","C"
"3603958563","01-2024-2044","3600455453","3600073719","3600055444",,"360",,"244","lbs","SWT","Water (navigable/surface)","C"
"3603960723","03-2024-0081","3600455831","3600073899","3600055584",,"6614",,"29000","lbs","LAN","Land","C"
"3603961960","03-2024-0045","3600456171","3600073978","3600055663",,"10361",,"1757","PNDSYR","AIR","Air","C"
"3603961960","03-2024-0045","3600456171","3600073978","3600055703",,"7003",,"1557","PNDSYR","AIR","Air","C"
"3603962520","09-2024-3508","3600456331","3600074018","3600055723",,"928",,"1445200","lbs","AIR","Air","C"
"3603974845","01-2024-2047","3600467132","3600074618","3600056183",,"1165",,"6","lbs","SWT","Water (navigable/surface)","C"
"3603974845","01-2024-2047","3600467132","3600074618","3600056184",,"6352",,"1","lbs","SWT","Water (navigable/surface)","C"
"3603978628","10-2024-0122","3600481211","3600077398","3600058325",,"10754",,"1553","lbs","SWT","Water (navigable/surface)","C"
"3603978673","09-2024-4408","3600467664","3600074898","3600056423",,"6662",,"1125","lbs","LAN","Land","C"
"3603978686","09-2024-4409","3600467665","3600074899","3600056424",,"6662",,"7412","lbs","LAN","Land","C"
"3603978731","08-2024-0061","3600467671","3600074923","3600056445",,"5713",,"195","PPL","DWT","Water (drinking)","C"
"3603986260","01-2024-1009","3600468323","3600083358","3600062723",,"200000670",,"2973","MTEVe","AIR","Air","C"
"3603990606","10-2024-0136","3600468955","3600075522","3600056827",,"6583",,"6000","gal","LAN","Land","C"
"3603990606","10-2024-0136","3600468955","3600075522","3600056828",,"7899",,"8000","gal","LAN","Land","C"
"3603993003","05-2024-5032","3600469103","3600075578","3600056864",,"10339",,"749","PNDSYR","AIR","Air","C"
"3603996592","10-2024-0140","3600488911","3600079958","3600060105",,"10486",,"870","lbs","SWT","Water (navigable/surface)","C"
"3603998856","08-2024-0062","3600469318","3600077764","3600058606",,"10178",,"3365","lbs","SWT","Water (navigable/surface)","C"
"3604001738","08-2024-0077","3600473845","3600075803","3600057006",,"6662",,"5","lbs","LAN","Land","C"
"3604004739","05-2024-5035","3600474095","3600075900","3600057084",,"6562",,"15","PNDSYR","AIR","Air","C"
