"ACTIVITY_ID","CASE_NUMBER","FED_PENALTY","ST_LCL_PENALTY","TOTAL_SEP","COMPLIANCE_ACTION_COST","FEDERAL_COST_RECOVERY_AMT","STATE_LOCAL_COST_RECOVERY_AMT","PENALTY_COLLECTED_AMT"
"1800118351","05-2010-4722","0","0","0","16197",,,"0"
"1800109322","02-2010-0828","0","0","0","200",,,"0"
"1800110783","08-2010-0115","500","0","0","3714",,,"500"
"1800081857","08-2010-0052","1200","0","0","0",,,"1200"
"1800095859","01-2010-0508","0","0","0","0",,,"0"
"1800095865","01-2010-0510","0","0","0","0",,,"0"
"1800120772","05-2010-1235","4000","0","10051","0",,,"4000"
"1800095910","02-2010-2011","0","0","0","250000",,,"0"
"1800109551","04-2010-1777","0","0","0","100",,,"0"
"1800112553","04-2010-2008","15938","0","61309","100",,,"15938"
"2200014233","02-2010-8316","0","0","0","637500",,,"0"
"2200016200","06-2010-4520","500","0","0","1000000",,,"500"
"2200016208","02-2010-3355","1575","0","0","0",,,"0"
"2200016573","04-2009-9115","0","0","0","9810",,,"0"
"2200002763","06-2010-1838","0","0","0","5100",,,"0"
"2200005538","02-2010-7964","70","0","0","650",,,"0"
"2200008758","EF-2010-7266","105000","0","0","0",,,"105000"
"1800090433","10-2010-0201","0","0","0","0",,,"0"
"2200014264","04-2010-4772","0","0","0","3250000",,,"0"
"2200014281","02-2010-8315","0","0","0","163104",,,"0"
"2200014475","05-2010-0107","0","0","0","0",,,"0"
"2200014583","10-2010-0245","0","0","0","2350000",,,"0"
"2200016420","07-2010-0360","45000","0","0","0",,,"45000"
"1800064995","10-2010-0065","34000","0","0","2200",,,"34000"
"2200002789","09-2010-3541","2000","0","0","0",,,"2000"
"1800093792","01-2010-2044","0","0","0","74000",,,"0"
"1800106099","06-2010-3585","580","0","0","580",,,"580"
"175468","01-2006-1953","140000","0","0","45000",,,"140000"
"2200005777","09-2010-1014","1000","0","0","5000",,,"1000"
"2200008660","07-2010-0339","1000","0","0","70",,,"1000"
"2200008783","04-2010-5516","25000","0","0","0",,,"25000"
"2200008786","04-2010-2903","1535","0","0","500",,,"1535"
"2200028442","HQ-2006-5019","0","0","0","0",,,"0"
"2200001244","02-2010-3048","0","0","0","1100000",,,"0"
"2200002561","04-2010-5131","19059","0","0","0",,,"19059"
"1800082599","06-2010-1796","3770","0","0","0",,,"3770"
"1800116687","06-2010-3600","630","0","0","0",,,"630"
"2200008372","HQ-2010-8008","0","0","0","11000",,,"0"
"200002934","07-2006-0214","73000","0","0","1443000",,,"73000"
"1800027017","02-2009-0035","0","0","0","627000",,,"0"
"2200002634","05-2010-4725","0","0","0","880",,,"0"
"2200002638","04-2010-1794","0","0","0","100",,,"0"
"2200004038","02-2010-3130","0","0","0","19020.96",,,"0"
"2200017342","08-2010-0184","0","0","0","0",,,"0"
"2200008300","06-2010-1793","0","0","0","4500",,,"0"
"2200000968","06-2010-0638","0","0","0","1500",,,"0"
"2200000973","07-2010-0311","0","0","0","15000",,,"0"
"1800120663","09-2010-5061","35000","0","0","2800",,,"0"
"1800067221","07-2010-0050","0","0","0","0",,,"0"
"2200003413","01-2010-9031","0","0","0","200",,,"0"
"2200003435","01-2010-9033","0","0","0","100",,,"0"
"2200013806","06-2010-1380","0","0","0","5000",,,"0"
"2200017434","08-2010-0188","0","0","0","0",,,"0"
"1800029429","02-2009-7111","31600","0","0","5350",,,"0"
"2200018254","05-2010-1030","0","0","0","1548000",,,"0"
"2200023035","07-2011-0012","1000","0","0","5",,,"1000"
"2200031439","03-2010-0381","0","0","0","24085",,,"0"
"2200033036","06-2011-0602","0","0","0","1500",,,"0"
"2200006143","06-2010-0509","150000","0","0","1500",,,"150000"
"2200022989","07-2011-0013","1000","0","0","20",,,"1000"
"2200030245","04-2010-5020","500","0","0","150",,,"500"
"2200016945","05-2010-0122","8000","0","0","0",,,"8000"
"2200017261","08-2010-0182","0","0","0","0",,,"0"
