"PGM_SYS_ACRNM","PGM_SYS_ID","REGISTRY_ID","AGENCY","ACTIVITY_TYPE_CODE","ENF_TYPE_CODE","ENF_TYPE_DESC","ACHIEVED_DATE","ENF_IDENTIFIER","STATUTE"
"ICIS","7825977","110024529848","EPA","AIF","NONC","Notice of Noncompliance Issued","02/28/2006","07-100022482","TSCA"
"ICIS","7825977","110024529848","EPA","AIF","NONC","Notice of Noncompliance Issued","04/20/2011","07-200046392","TSCA"
"ICIS","7824870","110024530006","EPA","AIF","NONC","Notice of Noncompliance Issued","06/20/2006","07-200006886","TSCA"
"ICIS","7731562","110024530079","EPA","AIF","NONC","Notice of Noncompliance Issued","03/20/2007","07-200005727","TSCA"
"ICIS","7825565","110024530104","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022486","SDWA"
"ICIS","7825565","110024530104","EPA","AIF","NOV","Notice of Violation","01/20/2012","06-200059062","SDWA"
"ICIS","7825565","110024530104","EPA","AIF","NOV","Notice of Violation","12/01/2011","06-200055634","SDWA"
"ICIS","7825565","110024530104","EPA","AIF","NOV","Notice of Violation","03/15/2012","06-200062813","SDWA"
"ICIS","7825565","110024530104","EPA","AIF","NOV","Notice of Violation","12/04/2012","06-200076441","SDWA"
"ICIS","7825565","110024530104","EPA","AIF","NOV","Notice of Violation","07/15/2021","06-200199960","SDWA"
"ICIS","7825568","110024530122","EPA","AIF","NOV","Notice of Violation","03/15/2006","06-100022217","SDWA"
"ICIS","7825568","110024530122","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022487","SDWA"
"ICIS","7825568","110024530122","EPA","AIF","NOV","Notice of Violation","05/05/2006","06-100023051","SDWA"
"ICIS","7825568","110024530122","EPA","AIF","NOV","Notice of Violation","07/15/2021","06-200199989","SDWA"
"ICIS","7825568","110024530122","EPA","AIF","NOV","Notice of Violation","08/02/2021","06-200199991","SDWA"
"ICIS","7825568","110024530122","EPA","AIF","NOV","Notice of Violation","07/15/2021","06-200201540","SDWA"
"ICIS","7825554","110024530140","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022472","SDWA"
"ICIS","7825554","110024530140","EPA","AIF","NOV","Notice of Violation","12/14/2010","06-200043101","SDWA"
"ICIS","7825554","110024530140","EPA","AIF","NOV","Notice of Violation","12/19/2011","06-200057591","SDWA"
"ICIS","7826097","110024530426","EPA","AIF","NONC","Notice of Noncompliance Issued","01/25/2006","03-100022433","CAA"
"ICIS","7826097","110024530426","EPA","AIF","NONC","Notice of Noncompliance Issued","01/25/2006","03-100022435","CAA"
"ICIS","7826098","110024530435","EPA","AIF","NONC","Notice of Noncompliance Issued","01/25/2006","03-100022434","CAA"
"ICIS","600013369","110024530435","EPA","AIF","NONC","Notice of Noncompliance Issued","01/09/2007","03-200004231","CAA"
"ICIS","7826031","110024530630","EPA","AIF","NONC","Notice of Noncompliance Issued","10/26/2005","08-100022409","EPCRA"
"ICIS","7825556","110024530649","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022474","SDWA"
"ICIS","7825556","110024530649","EPA","AIF","NOV","Notice of Violation","12/20/2007","06-200007633","SDWA"
"ICIS","7825556","110024530649","EPA","AIF","NOV","Notice of Violation","01/15/2009","06-200012729","SDWA"
"ICIS","7825556","110024530649","EPA","AIF","NOV","Notice of Violation","01/22/2010","06-200032221","SDWA"
"ICIS","7825556","110024530649","EPA","AIF","NOV","Notice of Violation","12/15/2010","06-200043211","SDWA"
"ICIS","7825556","110024530649","EPA","AIF","NOV","Notice of Violation","12/19/2011","06-200057648","SDWA"
"ICIS","7825557","110024530658","EPA","AIF","NOV","Notice of Violation","12/06/2005","06-100022475","SDWA"
"ICIS","7825557","110024530658","EPA","AIF","NOV","Notice of Violation","12/18/2006","06-200003951","SDWA"
"ICIS","7825557","110024530658","EPA","AIF","NOV","Notice of Violation","02/01/2007","06-200004783","SDWA"
"ICIS","7825557","110024530658","EPA","AIF","NOV","Notice of Violation","12/05/2012","06-200076390","SDWA"
"ICIS","7825562","110024530676","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022485","SDWA"
"ICIS","7825562","110024530676","EPA","AIF","NOV","Notice of Violation","12/15/2010","06-200043197","SDWA"
"ICIS","7825562","110024530676","EPA","AIF","NOV","Notice of Violation","12/04/2012","06-200076354","SDWA"
"ICIS","7825539","110024530685","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100017636","SDWA"
"ICIS","7825539","110024530685","EPA","AIF","NOV","Notice of Violation","12/22/2006","06-200004050","SDWA"
"ICIS","7825539","110024530685","EPA","AIF","NOV","Notice of Violation","04/08/2008","06-200008761","SDWA"
"ICIS","7825539","110024530685","EPA","AIF","NOV","Notice of Violation","12/20/2007","06-200007633","SDWA"
"ICIS","7825539","110024530685","EPA","AIF","NOV","Notice of Violation","01/15/2009","06-200012729","SDWA"
"ICIS","7825539","110024530685","EPA","AIF","NOV","Notice of Violation","01/22/2010","06-200032221","SDWA"
"ICIS","7825539","110024530685","EPA","AIF","NOV","Notice of Violation","08/16/2010","06-200038790","SDWA"
"ICIS","7825539","110024530685","EPA","AIF","NOV","Notice of Violation","12/15/2010","06-200043211","SDWA"
"ICIS","7825539","110024530685","EPA","AIF","NOV","Notice of Violation","12/19/2011","06-200057648","SDWA"
"ICIS","7825539","110024530685","EPA","AIF","NOV","Notice of Violation","11/10/2014","06-200105744","SDWA"
"ICIS","7825539","110024530685","EPA","AIF","NOV","Notice of Violation","07/28/2016","06-200140389","SDWA"
"ICIS","7825542","110024530694","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022469","SDWA"
"ICIS","7825542","110024530694","EPA","AIF","NOV","Notice of Violation","02/14/2006","06-100022375","SDWA"
"ICIS","7825542","110024530694","EPA","AIF","NOV","Notice of Violation","01/15/2009","06-200012641","SDWA"
"ICIS","7825542","110024530694","EPA","AIF","NOV","Notice of Violation","01/22/2010","06-200032225","SDWA"
"ICIS","7825542","110024530694","EPA","AIF","NOV","Notice of Violation","05/19/2010","06-200035920","SDWA"
"ICIS","7825542","110024530694","EPA","AIF","NOV","Notice of Violation","12/15/2010","06-200043201","SDWA"
"ICIS","7825542","110024530694","EPA","AIF","NOV","Notice of Violation","03/01/2021","06-200195870","SDWA"
"ICIS","7825540","110024530701","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100017636","SDWA"
"ICIS","7825540","110024530701","EPA","AIF","NOV","Notice of Violation","01/15/2008","06-200007852","SDWA"
"ICIS","7825540","110024530701","EPA","AIF","NOV","Notice of Violation","03/30/2010","06-200034135","SDWA"
"ICIS","7825540","110024530701","EPA","AIF","NOV","Notice of Violation","10/05/2012","06-200074856","SDWA"
"ICIS","7825543","110024530710","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022469","SDWA"
"ICIS","7825543","110024530710","EPA","AIF","NOV","Notice of Violation","01/15/2009","06-200012641","SDWA"
"ICIS","7825543","110024530710","EPA","AIF","NOV","Notice of Violation","01/22/2010","06-200032225","SDWA"
"ICIS","7825543","110024530710","EPA","AIF","NOV","Notice of Violation","12/15/2010","06-200043201","SDWA"
"ICIS","7825543","110024530710","EPA","AIF","NOV","Notice of Violation","12/19/2011","06-200057655","SDWA"
"ICIS","7825543","110024530710","EPA","AIF","NOV","Notice of Violation","03/01/2021","06-200195870","SDWA"
"ICIS","7825544","110024530729","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022469","SDWA"
"ICIS","7825544","110024530729","EPA","AIF","NOV","Notice of Violation","11/21/2007","06-200007431","SDWA"
"ICIS","7825544","110024530729","EPA","AIF","NOV","Notice of Violation","01/15/2009","06-200012641","SDWA"
"ICIS","7825544","110024530729","EPA","AIF","NOV","Notice of Violation","01/22/2010","06-200032225","SDWA"
"ICIS","7825544","110024530729","EPA","AIF","NOV","Notice of Violation","12/15/2010","06-200043201","SDWA"
"ICIS","7825544","110024530729","EPA","AIF","NOV","Notice of Violation","12/19/2011","06-200057655","SDWA"
"ICIS","7825544","110024530729","EPA","AIF","NOV","Notice of Violation","03/01/2021","06-200195870","SDWA"
"ICIS","7825541","110024530738","EPA","AIF","NOV","Notice of Violation","11/12/2010","06-200041648","SDWA"
"ICIS","7825541","110024530738","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022469","SDWA"
"ICIS","7825541","110024530738","EPA","AIF","NOV","Notice of Violation","01/22/2010","06-200032225","SDWA"
"ICIS","7825541","110024530738","EPA","AIF","NOV","Notice of Violation","10/12/2010","06-200040840","SDWA"
"ICIS","7825541","110024530738","EPA","AIF","NOV","Notice of Violation","12/15/2010","06-200043201","SDWA"
"ICIS","7825541","110024530738","EPA","AIF","NOV","Notice of Violation","01/04/2011","06-200043219","SDWA"
"ICIS","7825541","110024530738","EPA","AIF","NOV","Notice of Violation","03/01/2021","06-200195870","SDWA"
"ICIS","7825545","110024530747","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022470","SDWA"
"ICIS","7825549","110024530756","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022470","SDWA"
"ICIS","7825549","110024530756","EPA","AIF","NOV","Notice of Violation","08/15/2014","06-200102339","SDWA"
"ICIS","7825550","110024530765","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022471","SDWA"
"ICIS","7825550","110024530765","EPA","AIF","NOV","Notice of Violation","09/21/2021","06-200202718","SDWA"
"ICIS","7825552","110024530774","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022472","SDWA"
"ICIS","7825552","110024530774","EPA","AIF","NOV","Notice of Violation","12/14/2010","06-200043101","SDWA"
"ICIS","7825552","110024530774","EPA","AIF","NOV","Notice of Violation","12/19/2011","06-200057591","SDWA"
"ICIS","8027320","110024530952","EPA","AIF","NONC","Notice of Noncompliance Issued",,"03-100022194","TSCA"
"ICIS","7826550","110024531005","EPA","AIF","NONC","Notice of Noncompliance Issued","05/25/2006","03-100022987","TSCA"
"ICIS","7826549","110024531014","EPA","AIF","NONC","Notice of Noncompliance Issued","03/13/2006","07-100022201","TSCA"
"ICIS","7826553","110024531023","EPA","AIF","NONC","Notice of Noncompliance Issued","03/13/2006","07-100022197","TSCA"
"ICIS","7824646","110024531121","EPA","AIF","NONC","Notice of Noncompliance Issued","12/13/2005","08-100022405","EPCRA"
"ICIS","7824646","110024531121","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","03/30/2009","08-200016651","CAA"
"ICIS","7824645","110024531229","EPA","AIF","NONC","Notice of Noncompliance Issued","12/13/2005","08-100022368","EPCRA"
"ICIS","7825532","110024531247","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022466","SDWA"
"ICIS","7825534","110024531265","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022467","SDWA"
"ICIS","7825534","110024531265","EPA","AIF","NOV","Notice of Violation","12/15/2010","06-200043214","SDWA"
"ICIS","7825534","110024531265","EPA","AIF","NOV","Notice of Violation","03/21/2011","06-200045255","SDWA"
"ICIS","7825534","110024531265","EPA","AIF","NOV","Notice of Violation","12/19/2011","06-200058077","SDWA"
"ICIS","7825534","110024531265","EPA","AIF","NOV","Notice of Violation","12/04/2012","06-200076386","SDWA"
"ICIS","7825534","110024531265","EPA","AIF","NOV","Notice of Violation","11/30/2021","06-200210422","SDWA"
"ICIS","7825537","110024531274","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100017636","SDWA"
"ICIS","7825537","110024531274","EPA","AIF","NOV","Notice of Violation","12/20/2007","06-200007633","SDWA"
"ICIS","7825537","110024531274","EPA","AIF","NOV","Notice of Violation","08/25/2010","06-200038916","SDWA"
"ICIS","7825537","110024531274","EPA","AIF","NOV","Notice of Violation","10/25/2010","06-200041236","SDWA"
"ICIS","7825535","110024531283","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100022468","SDWA"
"ICIS","7825535","110024531283","EPA","AIF","NOV","Notice of Violation","01/15/2009","06-200012715","SDWA"
"ICIS","7825535","110024531283","EPA","AIF","NOV","Notice of Violation","01/22/2010","06-200031054","SDWA"
"ICIS","7825535","110024531283","EPA","AIF","NOV","Notice of Violation","12/15/2010","06-200043209","SDWA"
"ICIS","7825535","110024531283","EPA","AIF","NOV","Notice of Violation","12/19/2011","06-200057656","SDWA"
"ICIS","7825535","110024531283","EPA","AIF","NOV","Notice of Violation","12/04/2012","06-200076352","SDWA"
"ICIS","7825536","110024531292","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100017636","SDWA"
"ICIS","7825536","110024531292","EPA","AIF","NOV","Notice of Violation","12/20/2007","06-200007633","SDWA"
"ICIS","7825536","110024531292","EPA","AIF","NOV","Notice of Violation","01/15/2009","06-200012729","SDWA"
"ICIS","7825536","110024531292","EPA","AIF","NOV","Notice of Violation","12/04/2012","06-200076386","SDWA"
"ICIS","7825536","110024531292","EPA","AIF","NOV","Notice of Violation","09/15/2016","06-200141391","SDWA"
"ICIS","7825536","110024531292","EPA","AIF","NOV","Notice of Violation","10/27/2016","06-200143561","SDWA"
"ICIS","7825538","110024531309","EPA","AIF","NOV","Notice of Violation","12/14/2005","06-100017636","SDWA"
"ICIS","7825538","110024531309","EPA","AIF","NOV","Notice of Violation","12/20/2007","06-200007633","SDWA"
"ICIS","7825538","110024531309","EPA","AIF","NOV","Notice of Violation","01/15/2009","06-200012729","SDWA"
"ICIS","7825538","110024531309","EPA","AIF","NOV","Notice of Violation","01/22/2010","06-200032221","SDWA"
"ICIS","7825538","110024531309","EPA","AIF","NOV","Notice of Violation","12/15/2010","06-200043211","SDWA"
"ICIS","7825538","110024531309","EPA","AIF","NOV","Notice of Violation","12/19/2011","06-200057648","SDWA"
"ICIS","7825538","110024531309","EPA","AIF","NOV","Notice of Violation","12/05/2012","06-200076390","SDWA"
"ICIS","7824987","110024531522","EPA","AIF","NONC","Notice of Noncompliance Issued","12/22/2005","08-100017457","TSCA"
"ICIS","7824641","110024531648","EPA","AIF","NOV","Notice of Violation","12/13/2005","08-100022369","EPCRA"
"ICIS","7826027","110024531764","EPA","AIF","NONC","Notice of Noncompliance Issued","03/13/2006","07-100022200","TSCA"
"ICIS","7826027","110024531764","EPA","AIF","NONC","Notice of Noncompliance Issued","03/13/2006","07-200000638","TSCA"
"ICIS","7826539","110024532184","EPA","AIF","NONC","Notice of Noncompliance Issued","03/06/2006","08-100022213","TSCA"
"ICIS","7826524","110024532228","EPA","AIF","NONC","Notice of Noncompliance Issued","03/06/2006","08-100022212","TSCA"
"ICIS","7826522","110024532237","EPA","AIF","NOV","Notice of Violation","03/03/2006","06-100022179","SDWA"
"ICIS","7826522","110024532237","EPA","AIF","NOV","Notice of Violation","01/26/2006","06-100022439","SDWA"
"ICIS","7826523","110024532246","EPA","AIF","NONC","Notice of Noncompliance Issued","04/20/2006","07-100022923","TSCA"
"ICIS","7826525","110024532255","EPA","AIF","NOV","Notice of Violation","01/26/2006","06-100022440","SDWA"
"ICIS","7826525","110024532255","EPA","AIF","NOV","Notice of Violation","02/21/2006","06-100022376","SDWA"
"ICIS","7826514","110024532273","EPA","AIF","NONC","Notice of Noncompliance Issued","03/10/2006","07-100023212","TSCA"
"ICIS","7826516","110024532282","EPA","AIF","NONC","Notice of Noncompliance Issued","08/15/2006","07-200001179","TSCA"
"ICIS","7826518","110024532291","EPA","AIF","NONC","Notice of Noncompliance Issued","12/14/2006","07-200003919","TSCA"
