"ACTIVITY_ID","CASE_NUMBER","RELIEF_CODE","RELIEF_DESC"
"3603807684","09-2024-5014","PEN","Penalty"
"3603979486","09-2024-5036","PEN","Penalty"
"3604107485","09-2024-5051","PEN","Penalty"
"3604039314","09-2024-5068","PEN","Penalty"
"3604110464","09-2024-5088","PEN","Penalty"
"3604110309","09-2024-5092","PEN","Penalty"
"3604110518","09-2024-5099","PEN","Penalty"
"3604003256","09-2024-5501","PEN","Penalty"
"3604003263","09-2024-5502","PEN","Penalty"
"3603994328","09-2024-6008","INJ","Injunctive Relief"
"3603994341","09-2024-6010","INJ","Injunctive Relief"
"3603856680","09-2024-6516","PEN","Penalty"
"3603985788","09-2024-6531","PEN","Penalty"
"3604035703","09-2024-6540","PEN","Penalty"
"3604109111","09-2024-6541","PEN","Penalty"
"3604100855","09-2024-6552","PEN","Penalty"
"3604079687","09-2024-6556","PEN","Penalty"
"3604054804","09-2024-6559","PEN","Penalty"
"3604103810","09-2024-6562","PEN","Penalty"
"3603834184","09-2024-6566","PEN","Penalty"
"3604110484","09-2024-6574","PEN","Penalty"
"3604032375","09-2024-7545","PEN","Penalty"
"3604403001","09-2025-0060","PEN","Penalty"
"3604403515","09-2025-0063","PEN","Penalty"
"3604402944","09-2025-0064","PEN","Penalty"
"3604402979","09-2025-0065","PEN","Penalty"
"3604403561","09-2025-0066","PEN","Penalty"
"3604405711","09-2025-0075","PEN","Penalty"
"3604405735","09-2025-0076","PEN","Penalty"
"3604435446","09-2025-0077","PEN","Penalty"
"3604403063","09-2025-0078","PEN","Penalty"
"3604435447","09-2025-0079","PEN","Penalty"
"3604403562","09-2025-0080","PEN","Penalty"
"3604403573","09-2025-0081","PEN","Penalty"
"3604443158","09-2025-0083","PEN","Penalty"
"3604403565","09-2025-0084","PEN","Penalty"
"3604403567","09-2025-0085","PEN","Penalty"
"3604405704","09-2025-0089","PEN","Penalty"
"3604443082","09-2025-0093","PEN","Penalty"
"3604443160","09-2025-0094","PEN","Penalty"
"3604444252","09-2025-0095","PEN","Penalty"
"3604462552","09-2025-0104","PEN","Penalty"
"3604558005","09-2025-0126","PEN","Penalty"
"3604387343","09-2025-1032","PEN","Penalty"
"3604155295","09-2025-1083","PEN","Penalty"
"3604556356","09-2025-1085","PEN","Penalty"
"3604556575","09-2025-1086","PEN","Penalty"
"3604605482","09-2025-1087","PEN","Penalty"
"3604207396","09-2025-1504","PEN","Penalty"
"3604468285","09-2025-2005","PEN","Penalty"
"3604468390","09-2025-2011","PEN","Penalty"
"3604173822","09-2025-2078","PEN","Penalty"
"3604173814","09-2025-2079","PEN","Penalty"
"3604468480","09-2025-2080","PEN","Penalty"
"3604500842","09-2025-2082","PEN","Penalty"
"3604542416","09-2025-2083","INJ","Injunctive Relief"
"3604605530","09-2025-2500","INJ","Injunctive Relief"
"3604605532","09-2025-2501","CRA","Cost Recovery"
"3604605532","09-2025-2501","INJ","Injunctive Relief"
"3604605533","09-2025-2502","CRA","Cost Recovery"
"3604605533","09-2025-2502","INJ","Injunctive Relief"
"3604557903","09-2025-3524","PEN","Penalty"
"3604207547","09-2025-4006","PEN","Penalty"
"3604146901","09-2025-4009","PEN","Penalty"
"3604206829","09-2025-4010","PEN","Penalty"
"3604193567","09-2025-4029","PEN","Penalty"
"3604447834","09-2025-4188","PEN","Penalty"
"3604499456","09-2025-4189","PEN","Penalty"
"3604557989","09-2025-4190","PEN","Penalty"
"3604229652","09-2025-4730","PEN","Penalty"
"3604279252","09-2025-4734","PEN","Penalty"
"3604314480","09-2025-4736","PEN","Penalty"
"3604338178","09-2025-4746","PEN","Penalty"
"3604347822","09-2025-4757","PEN","Penalty"
"3604347975","09-2025-4764","PEN","Penalty"
"3604348204","09-2025-4768","PEN","Penalty"
"3604353676","09-2025-4775","PEN","Penalty"
"3604353915","09-2025-4776","PEN","Penalty"
"3604531336","09-2025-4792","PEN","Penalty"
"3604220536","09-2025-5001","PEN","Penalty"
"3604312520","09-2025-5002","PEN","Penalty"
"3604174945","09-2025-5007","PEN","Penalty"
"3604220549","09-2025-5019","PEN","Penalty"
"3604332782","09-2025-5026","PEN","Penalty"
"3604358056","09-2025-5030","PEN","Penalty"
"3604402878","09-2025-5035","PEN","Penalty"
"3604432918","09-2025-5041","PEN","Penalty"
"3604563722","09-2025-5043","PEN","Penalty"
"3604432307","09-2025-5047","PEN","Penalty"
"3604426135","09-2025-5050","PEN","Penalty"
"3604558336","09-2025-5067","PEN","Penalty"
"3604560039","09-2025-5091","INJ","Injunctive Relief"
"3604560039","09-2025-5091","PEN","Penalty"
"3604599394","09-2025-5100","PEN","Penalty"
"3604558312","09-2025-5113","INJ","Injunctive Relief"
"3604558312","09-2025-5113","PEN","Penalty"
"3604559887","09-2025-5122","PEN","Penalty"
"3604162020","09-2025-6002","INJ","Injunctive Relief"
"3604398375","09-2025-6509","PEN","Penalty"
"3604439532","09-2025-6510","PEN","Penalty"
"3604439540","09-2025-6511","PEN","Penalty"
"3604440249","09-2025-6512","PEN","Penalty"
"3604470836","09-2025-6514","PEN","Penalty"
"3604470863","09-2025-6515","PEN","Penalty"
"3604500205","09-2025-6516","PEN","Penalty"
"3604556812","09-2025-6518","PEN","Penalty"
"3604557865","09-2025-6520","PEN","Penalty"
"3604376433","09-2025-6573","PEN","Penalty"
"3604435169","09-2025-7002","PEN","Penalty"
"3604348465","09-2025-7511","PEN","Penalty"
"3604458579","09-2025-7512","PEN","Penalty"
"3604500777","09-2025-7514","PEN","Penalty"
"3604616611","09-2026-0600","PEN","Penalty"
"3604616971","09-2026-0601","PEN","Penalty"
"3604636386","09-2026-1000","PEN","Penalty"
"3604664448","09-2026-1001","PEN","Penalty"
"3604615564","09-2026-1500","PEN","Penalty"
"3604618457","09-2026-1501","PEN","Penalty"
"3604669797","09-2026-1502","PEN","Penalty"
"3604841616","09-2026-2500","INJ","Injunctive Relief"
"3604841622","09-2026-2501","INJ","Injunctive Relief"
"3604616583","09-2026-3500","PEN","Penalty"
"3604679604","09-2026-3501","PEN","Penalty"
"3604991657","09-2026-3510","PEN","Penalty"
"3604989000","09-2026-3524","PEN","Penalty"
"3604840495","09-2026-3529","PEN","Penalty"
"3604841360","09-2026-3536","PEN","Penalty"
"3604989114","09-2026-3539","PEN","Penalty"
"3604939494","09-2026-3546","PEN","Penalty"
"3604884301","09-2026-3551","PEN","Penalty"
"3604989070","09-2026-3556","PEN","Penalty"
"3604989306","09-2026-3564","PEN","Penalty"
"3604990277","09-2026-3567","PEN","Penalty"
"3604989307","09-2026-3568","PEN","Penalty"
"3605016048","09-2026-4088","PEN","Penalty"
"3605006867","09-2026-4091","PEN","Penalty"
"3604991717","09-2026-4105","PEN","Penalty"
"3604599516","09-2026-4191","PEN","Penalty"
"3604662280","09-2026-4192","PEN","Penalty"
"3604662871","09-2026-4193","PEN","Penalty"
"3604942611","09-2026-4194","PEN","Penalty"
"3604965320","09-2026-4195","PEN","Penalty"
"3604978237","09-2026-4196","PEN","Penalty"
"3604700237","09-2026-4314","PEN","Penalty"
"3604928158","09-2026-4330","PEN","Penalty"
"3604648216","09-2026-5006","PEN","Penalty"
"3604671414","09-2026-5026","PEN","Penalty"
"3604840445","09-2026-5027","INJ","Injunctive Relief"
"3604840445","09-2026-5027","PEN","Penalty"
"3604686338","09-2026-5031","PEN","Penalty"
"3604741271","09-2026-5032","PEN","Penalty"
"3604841437","09-2026-5037","PEN","Penalty"
"3604884237","09-2026-5060","PEN","Penalty"
"3604990250","09-2026-5061","PEN","Penalty"
"3604991662","09-2026-5083","PEN","Penalty"
"3604990245","09-2026-5557","PEN","Penalty"
"3604636469","09-2026-6500","PEN","Penalty"
"3604596135","09-2026-7500","PEN","Penalty"
"3604599240","09-2026-7501","PEN","Penalty"
"3604648201","09-2026-7502","PEN","Penalty"
"3604842360","09-2026-7503","PEN","Penalty"
"3604923161","09-2026-7504","PEN","Penalty"
"3604983133","09-2026-7505","PEN","Penalty"
"53930","10-1978-0011","PEN","Penalty"
"53967","10-1982-0012","INJ","Injunctive Relief"
"53971","10-1982-0016","PEN","Penalty"
"53995","10-1984-0015","PEN","Penalty"
"54110","10-1987-0080","PEN","Penalty"
"54133","10-1988-0007","PEN","Penalty"
"54137","10-1988-0011","CFS","Cost Recovery RI/FS (CERCLA)"
"54137","10-1988-0011","CRA","Cost Recovery"
"54137","10-1988-0011","CRD","Cost Recovery Remedial Design (CERCLA)"
"54137","10-1988-0011","CRR","Cost Recovery Removal (CERCLA)"
"54137","10-1988-0011","IRA","Injunctive Remedial Action (CERCLA)"
"54137","10-1988-0011","IRD","Injunctive Remedial Design (CERCLA)"
"54137","10-1988-0011","PEN","Penalty"
"54150","10-1989-0001","INJ","Injunctive Relief"
"54150","10-1989-0001","PEN","Penalty"
"54151","10-1989-0002","IRA","Injunctive Remedial Action (CERCLA)"
"54151","10-1989-0002","IRD","Injunctive Remedial Design (CERCLA)"
"54151","10-1989-0002","OCR","Other Cost Recovery (CERCLA)"
"54153","10-1989-0004","CRA","Cost Recovery"
"54153","10-1989-0004","IRA","Injunctive Remedial Action (CERCLA)"
"54155","10-1989-0006","INJ","Injunctive Relief"
"54155","10-1989-0006","PEN","Penalty"
"54157","10-1989-0009","CRA","Cost Recovery"
"54157","10-1989-0009","CRD","Cost Recovery Remedial Design (CERCLA)"
"54159","10-1989-0013","INJ","Injunctive Relief"
"54159","10-1989-0013","PEN","Penalty"
"54180","10-1990-0001","CFS","Cost Recovery RI/FS (CERCLA)"
