"ACTIVITY_ID","CASE_NUMBER","REGIONAL_DOCKET_NMBR"
"9307","03-1981-0334","III-84-12-DC"
"9308","03-1981-0335","III-84-13-DC"
"9309","03-1981-0336","III-84-14-DC"
"9310","03-1981-0337","III-84-15-DC"
"9311","03-1981-0338","III-84-16-DC"
"9312","03-1981-0339","III-85-01-DC"
"7875","02-2000-8283","SDWA-02-2000-8283"
"7876","02-2000-8284","SDWA-02-2000-8284"
"7877","02-2000-8285","SDWA-02-2000-8285"
"7878","02-2000-8286","SDWA-02-2000-8286"
"9490","03-1981-0724","III-81-024DW"
"9491","03-1981-0725","III-81-025DW"
"9492","03-1981-0726","III-81-026DW"
"9493","03-1981-0727","III-81-027DW"
"9494","03-1981-0728","III-81-028DW"
"9495","03-1981-0729","III-81-029DW"
"9496","03-1981-0730","III-81-030DW"
"9497","03-1981-0731","III-81-031DW"
"9498","03-1981-0732","III-81-032DW"
"9499","03-1981-0733","III-81-033DW"
"6406","02-1998-0050","EPA-CWA-II-98-42"
"12568","03-1988-0623","III-1988-050DS"
"12569","03-1988-0624","TSCA-III-381"
"12570","03-1988-0625","TSCA-III-382"
"12571","03-1988-0626","TSCA-III-383"
"12574","03-1988-0630","TSCA-III-387"
"12575","03-1988-0631","TSCA-III-388"
"12576","03-1988-0632","03-88-0108NT"
