"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","STATE_LOCAL_PENALTY_AMT","COST_RECOVERY_AMT","FED_PENALTY","COMPLIANCE_ACTION_COST","SEP_COST","PENALTY_COLLECTED_AMT"
"136182","06-2005-4316","54610",,"0","1700","1200",,"1700"
"136183","06-2005-4317","54449",,"0","1750","5000",,"1750"
"136184","05-2005-0017","53829",,"0","2464","500",,"2464"
"136200","02-2005-7907","53833",,"0","2050","12665",,
"136208","06-2005-1785","54988",,"0","0","26974",,
"136209","09-2005-0007","53838",,"0","0","0",,
"136211","07-2005-0041","53996",,"0","400","1000",,"400"
"136212","07-2005-0042","53835",,"0","1800","1500",,"1800"
"87429","09-2002-0143","43494","0","0","0","0",,"0"
"87430","02-2002-4105","43574",,"0","4061","0",,
"87431","09-2002-0144","43497","0","0","0","18900000",,"0"
"87432","09-2002-0145","43524","0","0","0","0",,"0"
"87434","02-2002-8257","43505",,"0","0","0",,
"87438","04-2002-9025","43513",,"0","0","0",,
"87441","04-2002-9944","43514",,"0","0","0",,
"87447","04-2002-9945","43517",,"0","0","0",,
"87454","05-2002-0830","47071","15204.5","0","15204.5","2000000",,
"87455","04-2002-9036","43518",,"0","0","0",,
"151014","06-2005-2594","56705",,"0","0","1000",,
"151015","06-2005-2596","56706",,"0","0","6944",,
"151016","06-2005-2598","56707",,"0","0","4758",,
"151017","06-2005-2600","56708",,"0","0","1000",,
"137030","07-2005-0070","53998",,"0","0","10000",,
"137059","WF-2004-0004","53999",,"0","0","20000",,
"167203","02-2006-8007","59752",,"0","0","10000",,
"167209","02-2006-8008","59753",,"0","0","10000",,
"167219","07-2006-0070","59756",,"0","1800","1500",,"1800"
"167224","07-2006-0071","59757",,"0","2100","2500",,"2100"
"167228","02-2006-1010","59761",,"0","0","100",,
"169392","09-2006-0041","60086",,"0","2200","0",,"2200"
"169431","09-2006-0043","60092",,"0","0","0",,
"169432","09-2006-0044","60093",,"0","450","0",,"450"
"169433","09-2006-0045","60094",,"0","0","0",,
"169441","03-2006-0049","60160",,"0","0","0",,
"169453","05-2006-3672","60099",,"0","13848.4","0",,"13913.8"
"178857","07-2006-0168","61499",,"0","0","14500",,
"178858","07-2006-0169","61500",,"0","0","33737.76",,
"178859","08-2006-0089","61501",,"0","0","500",,
"178864","08-2006-0090","61503",,"0","0","90",,
"178866","08-2006-0091","61504",,"0","0","500",,
"176417","HQ-2006-0013","61076",,"0","200","2500",,
"176424","HQ-2006-0014","61078",,"0","500","2500",,
"176446","HQ-2006-0015","61079",,"0","200","2500",,
"176450","HQ-2006-0016","61080",,"0","500","2500",,
"86157","02-2002-3102","42843",,"0","0","500",,
"86158","02-2002-3307","42844",,"0","1300","1000",,
"86159","02-2002-3103","42845",,"0","0","500",,
"86160","02-2002-3308","42846",,"0","0","0",,
"86161","02-2002-3104","42847",,"0","0","500",,
"86162","02-2002-3310","42848",,"0","1300","1000",,
"141554","04-2005-4765","54876",,"0","0","3000",,
"141555","02-2005-1201","54940",,"0","2700","0",,
"141556","02-2005-4002","54879",,"0","3950","0",,
"154311","06-2005-4571","57471",,"0","500","10000",,"500"
"154313","06-2005-4569","57473",,"0","4000","1800000",,"4000"
"149715","06-2005-2026","57663",,"0","0","1600",,
"149717","06-2005-2027","57666",,"0","0","1600",,
"149721","06-2005-2028","57670",,"0","0","1600",,
"121056","04-2004-5040","51227",,"0","500","5101",,
"121057","07-2004-0195","51228",,"0","15000","10000",,"15000"
"121062","07-2004-0197","51229",,"0","5079","1079",,"5079"
"121063","06-2004-1868","51992",,"0","10000","12500","15000","10000"
"121064","06-2004-2172","51822",,"0","7000","5000",,"7000"
"121069","06-2004-2201","52620","0","0","6000","7000",,"6000"
"121070","06-2004-2132","52424",,"0","10000","0",,
"121078","09-2004-0262","51232",,"0","0","0",,
"121079","09-2004-0263","51233",,"0","1000","5000",,"1000"
"121081","09-2004-0264","51234",,"0","1000","5000",,"1000"
"121091","06-2004-3541","52126",,"0","1260","0",,"1260"
"121092","06-2004-3543","52128",,"0","1350","0",,"1350"
"121093","06-2004-3542","52283",,"0","90","0",,"90"
"126043","05-2004-9503","52244",,"0","14567","24262.42",,"14567"
"126046","HQ-2004-5107","52246",,"0","9000","3000",,"9000"
"126057","06-2004-1143","52695",,"0","0","200",,
"123304","10-2004-0167","51734",,"0","300","0",,"300"
